state,n_guns_involved,n_injured,n_killed,incident_amount,total_population,density_sq_km
AL,2412.0,2580,1668,4427,4874747,37.162116842324764
AK,750.0,267,234,932,739795,0.50033593989522
AZ,1165.0,847,940,1687,7016270,23.84861453336934
AR,1365.0,1181,675,2165,3004279,22.29208589638602
CA,8835.0,6109,4872,12262,39536653,97.98780228542019
CO,1404.0,681,627,1754,5607154,20.88889732668024
CT,1690.0,1047,305,2302,3588184,286.0777083606156
DE,827.0,776,196,1365,961939,190.58601841062497
DC,595.0,1004,390,1676,693972,4382.449686655584
FL,6540.0,5532,3297,10213,20984400,151.0623042475447
GA,3763.0,3360,2153,6538,10429379,69.91214191666847
HI,161.0,73,56,214,1427538,85.81939724932002
ID,544.0,123,141,494,1716943,8.02124775194886
IL,9553.0,12031,2909,14075,12802023,89.03591990391384
IN,3481.0,2275,1346,4255,6666818,71.84977923126861
IA,1145.0,619,232,1514,3145711,21.74480064815058
KS,835.0,683,446,1356,2913123,13.75708674428946
KY,1990.0,1456,935,3038,4454189,43.55465028333705
LA,3683.0,3569,1854,6368,4684333,41.85974579797296
ME,603.0,127,102,601,1335907,16.72261320219633
MD,2877.0,2811,1509,4786,6052177,240.63520436907237
MA,3439.0,1345,414,3956,6859819,339.52102216056886
MI,3143.0,2331,1319,4230,9962311,68.00728150411767
MN,1059.0,624,387,1309,5576606,27.04066752926682
MS,1482.0,1584,1015,2759,2984100,24.55424083890063
MO,3243.0,2458,1828,4427,6113532,34.33545419690529
MT,380.0,103,136,409,1050493,2.78672705172576
NE,751.0,574,197,1083,1920076,9.650607236410139
NV,728.0,704,672,1396,2998039,10.54418881927554
NH,637.0,118,80,664,1342795,57.91010650771204
NJ,2688.0,2216,1023,4347,9005644,472.74142103999816
NM,713.0,339,385,975,2088070,6.645815684486551
NY,5612.0,4523,1556,8105,19849399,162.63376483306095
NC,3274.0,3643,1952,6303,10273419,81.58659917613777
ND,292.0,96,53,359,755393,4.2268868846919
OH,5757.0,4496,2152,7574,11658609,110.15951750195535
OK,1501.0,885,775,1959,3930864,22.12508949635556
OR,1525.0,593,377,1611,4142776,16.66404073798893
PA,4604.0,4264,2059,6971,12805537,110.50484644728243
RI,513.0,298,50,654,1059639,395.68110702494516
SC,2800.0,2487,1403,5017,5024369,64.52818442186688
SD,306.0,82,62,302,869666,4.42924488665802
TN,3231.0,3450,1567,5513,6715984,62.884559407269606
TX,5886.0,4768,4183,9669,28304596,41.83074576338229
UT,623.0,325,242,762,3101833,14.57039136445893
VT,243.0,61,49,332,623657,26.1232996932765
VA,2253.0,2827,1268,4334,8470020,82.8324798666651
WA,2279.0,1092,723,2632,7405743,43.028434278588335
WV,872.0,486,277,1153,1815857,29.162891649781887
WI,1820.0,1872,767,3248,5795483,41.3147829589209
WY,150.0,43,59,158,579315,2.30374111258863
